fill	y	x	key	showSelectedlegendfill	showSelected1	showSelected2	PANEL
#FFFFFF	0	0.0141941882254739	finite	correct	finite	1.18	1
#FFFFFF	0	0.0464767498471601	infinite	correct	infinite	0.94	1
#FFFFFF	0	0.054194188225474	finite	correct	finite	1.22	1
#FFFFFF	0	0.0864767498471601	infinite	correct	infinite	0.98	1
#FFFFFF	0	0.0941941882254735	finite	correct	finite	1.26	1
#FFFFFF	0	0.12647674984716	infinite	correct	infinite	1.02	1
#FFFFFF	0	0.134194188225474	finite	correct	finite	1.3	1
#FFFFFF	0	0.16647674984716	infinite	correct	infinite	1.06	1
#FFFFFF	0	0.174194188225474	finite	correct	finite	1.34	1
#FFFFFF	0	0.20647674984716	infinite	correct	infinite	1.1	1
#FFFFFF	0	0.214194188225474	finite	correct	finite	1.38	1
#FFFFFF	0	0.24647674984716	infinite	correct	infinite	1.14	1
#FFFFFF	0	0.254194188225474	finite	correct	finite	1.42	1
#FFFFFF	0	0.28647674984716	infinite	correct	infinite	1.18	1
#FFFFFF	0	0.294194188225474	finite	correct	finite	1.46	1
#FFFFFF	0	0.32647674984716	infinite	correct	infinite	1.22	1
#FFFFFF	0	0.334194188225474	finite	correct	finite	1.5	1
#FFFFFF	0	0.36647674984716	infinite	correct	infinite	1.26	1
#FFFFFF	0	0.374194188225474	finite	correct	finite	1.54	1
#FFFFFF	0	0.40647674984716	infinite	correct	infinite	1.3	1
#FFFFFF	0	0.414194188225474	finite	correct	finite	1.58	1
#FFFFFF	0	0.44647674984716	infinite	correct	infinite	1.34	1
#FFFFFF	0	0.454194188225474	finite	correct	finite	1.62	1
#FFFFFF	0	0.48647674984716	infinite	correct	infinite	1.38	1
#FFFFFF	0	0.494194188225474	finite	correct	finite	1.66	1
#FFFFFF	0	0.52647674984716	infinite	correct	infinite	1.42	1
#FFFFFF	0	0.534194188225474	finite	correct	finite	1.7	1
#FFFFFF	0	0.56647674984716	infinite	correct	infinite	1.46	1
#FFFFFF	0	0.574194188225474	finite	correct	finite	1.74	1
#FFFFFF	0	0.60647674984716	infinite	correct	infinite	1.5	1
#FFFFFF	0	0.614194188225474	finite	correct	finite	1.78	1
#FFFFFF	0	0.64647674984716	infinite	correct	infinite	1.54	1
#FFFFFF	0	0.654194188225474	finite	correct	finite	1.82	1
#FFFFFF	0	0.68647674984716	infinite	correct	infinite	1.58	1
#FFFFFF	0	0.694194188225474	finite	correct	finite	1.86	1
#FFFFFF	0	0.72647674984716	infinite	correct	infinite	1.62	1
#FFFFFF	0	0.734194188225474	finite	correct	finite	1.9	1
#FFFFFF	0	0.76647674984716	infinite	correct	infinite	1.66	1
#FFFFFF	0	0.774194188225474	finite	correct	finite	1.94	1
#FFFFFF	0	0.80647674984716	infinite	correct	infinite	1.7	1
#FFFFFF	0	0.814194188225474	finite	correct	finite	1.98	1
#FFFFFF	0	0.84647674984716	infinite	correct	infinite	1.74	1
#FFFFFF	0	0.88647674984716	infinite	correct	infinite	1.78	1
#FFFFFF	0	0.92647674984716	infinite	correct	infinite	1.82	1
#FFFFFF	0	0.96647674984716	infinite	correct	infinite	1.86	1
#FFFFFF	0	1.00647674984716	infinite	correct	infinite	1.9	1
#FFFFFF	0	1.04647674984716	infinite	correct	infinite	1.94	1
#FFFFFF	0	1.08647674984716	infinite	correct	infinite	1.98	1
#000000	1	-5.03887596374943	finite	error	finite	-2.1	2
#000000	1	-4.99887596374943	finite	error	finite	-2.06	2
#000000	1	-4.95887596374943	finite	error	finite	-2.02	2
#000000	1	-4.91887596374943	finite	error	finite	-1.98	2
